Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Popol Vuh,,Anonymous K'iche' Scribes,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,K'iche' Maya,4321,
In Patagonia (40-yr ed.),,Bruce Chatwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4322,
The Feeling Brain: The Biology and Psychology of Emotions,,Giovanni Frazzetto,,,,,,,,,,,2013,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Cognitive & Affective Sciences,Neuroscience of Mind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English / Italian,4323,
"Amulet (Amuleto, 1999)",,Roberto Bolaño,,,,,,,,,,,1999,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4324,
The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,,Kevin Kelly,,,,,,,,,,,2016,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4325,
This Dog Will Change Your Life,,Elias Weiss Friedman & Ben Greenman,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4326,
Losing Our Minds: What Mental Illness Really Is—and What It Isn't,,Lucy Foulkes,,,,,,,,,,,44986,,,,,,,,,,,,,,"Consciousness, Mind & Psychology",Developmental & Social Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4327,
Hidden Order,,John H. Holland,,,,,,,,,,,1995,,,,,,,,,,,,,,Systems Thinking & Complexity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4328,
Healing & Leadership: Integrated Approaches for Conflict Zones,,Rana Nashashibi,,,,,,,,,,,2017,,,,,,,,,,,,,,Leadership & Management Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic,4329,
Dictionary of Symbols,,Tom Chetwynd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4330,
The Spectra Suites,,"Franklin Albert Jones (Bubba Free John, Da Free John, Adi Da Samraj)",,,,,,,,,,,2007,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4331,
Baudelaire in English,,Charles Baudelaire,,,,,,,,,,,1857,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Poetry Collection,4332,
Utopia,,Thomas More,,,,,,,,,,,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4333,
The Rise of the Network Society (4th ed.),,Manuel Castells,,,,,,,,,,,2025,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4334,
The Road Home: A Contemporary Exploration of the Buddhist Path,,Ethan Nichtern,,,,,,,,,,,2015,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4335,
Waiting for God,,Simone Weil,,,,,,,,,,,1950,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,French,4336,
Built to Last,,Jim Collins & Jerry I. Porras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4337,
The God In Every Body Book: Talks and Essays on God-Realization,,"Franklin Albert Jones (Bubba Free John, Da Free John, Adi Da Samraj)",,,,,,,,,,,1983,,,,,,,,,,,,,,"Religion, Spirituality & Myth",Transpersonal & Altered States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4338,
From Strength to Strength,,Arthur Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4339,
The Maias,,Eça de Queiroz,,,,,,,,,,,1888,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,4340,
Aesop's Fables,,Aesop,,,,,,,,,,,1,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,"Philosophy & Ethics,""Culture, Language & Anthropology""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,4341,
The Metastases of Enjoyment,,Slavoj Žižek,,,,,,,,,,,1994,,,,,,,,,,,,,,Philosophy & Ethics,"Depth & Archetypal Psychology,Developmental & Social Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4342,
Pippi Longstocking,,Astrid Lindgren,,,,,,,,,,,1945,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Swedish,4343,
"Indigenous Writes: A Guide to First Nations, Métis, and Inuit Issues in Canada",,Chelsea Vowel (Métis),,,,,,,,,,,2025,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4344,
My Story (Death and Sexuality),,Kamala Das,,,,,,,,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Malayalam,4345,
Pramanasamuccaya (Compendium of Valid Cognition),,Dignaga,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Sanskrit,4346,
The Island of Missing Trees,,Elif Shafak,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Turkish,4347,
Reimagining Education through Gender Lenses,,Lalitha Balasubramanian,,,,,,,,,,,2015,,,,,,,,,,,,,,Education & Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4348,
White Nights,,Fyodor Dostoyevsky,,,,,,,,,,,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4349,
Beyond the Crises: ZANU-PF's Politics of Survival,,Tendai Murisa,,,,,,,,,,,2022,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4350,
Wild Child (Autism Psychology),,Chang Ta-chun,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Traditional Chinese,4351,
One Taste,,Ken Wilber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4352,
Selected Subaltern Studies,,Gayatri Chakravorty Spivak,,,,,,,,,,,1988,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4353,
EEG and Consciousness States in Russia,,Alexander Kaplan,,,,,,,,,,,2020,,,,,,,,,,,,,,"Consciousness, Mind & Psychology","Neuroscience of Mind,Transpersonal & Altered States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Russian/English,4354,
Principles of Human Knowledge and Three Dialogues,,George Berkeley,,,,,,,,,,,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Philosophical Treatise,4355,
Eaarth: Making a Life on a Tough New Planet,,Bill McKibben,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4356,
Listening for Well-Being: Conversations with People Not Like Us,,Arun Maira,,,,,,,,,,,2017,,,,,,,,,,,,,,"Community Organizing, Civic Action & Democracy","Developmental & Social Psychology,Positive Psychology & Human Potential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4357,
Developmental Sequence in Small Groups,,Bruce Tuckman,,,,,,,,,,,1965,,,,,,,,,,,,,,Leadership & Management Sciences,Developmental & Social Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4358,
The Crisis of Civilization and Ecofeminist Proposals,,Yayo Herrero,,,,,,,,,,,20152022,,,,,,,,,,,,,,Ecology & Deep Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4359,
Colorless Tsukuru Tazaki and His Years of Pilgrimage,,Haruki Murakami,,,,,,,,,,,2013,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Japanese,4360,
Trauma Trails: Recreating Song Lines – The Transgenerational Effects of Trauma in Indigenous Australia,,Judy Atkinson,,,,,,,,,,,,,,,,,,,,,,,,,"Health, Healing & Somatics","Developmental & Social Psychology,Psychotherapy & Counseling Modalities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4361,
"Making Face, Making Soul/Haciendo Caras",,Gloria Evangelina Anzaldúa,,,,,,,,,,,1990,,,,,,,,,,,,,,"Culture, Language & Anthropology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Feminist Theory,4362,
The Constitution Demands It: The Case for the Impeachment of Donald Trump,,Anthony D. Romero,,,,,,,,,,,2017,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4363,
Meditation Now,,Satya Narayan Goenka,,,,,,,,,,,1988,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Hindi/English,4364,
Abundance: The Inner Path to Wealth,,Deepak Chopra,,,,,,,,,,,2022,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4365,
Long Walk to Freedom,,Nelson Mandela,,,,,,,,,,,1994,,,,,,,,,,,,,,"Community Organizing, Civic Action & Democracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4366,
Democracy and Race in South Africa,,Xolela Mangcu,,,,,,,,,,,2025,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4367,
Psychological Perspectives on Love and Sexuality in Muslim Cultures,,Zahra Tizro,,,,,,,,,,,2013,,,,,,,,,,,,,,"Family, Love & Relationships",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Persian,4368,
At Home in the Universe,,Stuart Kauffman,,,,,,,,,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4369,
De Architectura (Ten Books on Architecture),,Marcus Vitruvius Pollio,,,,,,,,,,,0,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Latin,4370,
"Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment",,Patricia Hill Collins,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4371,
All Our Relations: Native Struggles for Land and Life,,Winona LaDuke,,,,,,,,,,,1999,,,,,,,,,,,,,,Ecology & Deep Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4372,
The Lower Depths & Other Plays,,Maxim Gorky,,,,,,,,,,,1902,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Plays,4373,
E=mc²: A Biography of the World's Most Famous Equation,,David Bodanis,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4374,
Brief Answers to the Big Questions,,Stephen Hawking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4375,
Poetics,,Aristotle,,,,,,,,,,,0,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Ancient Greek,4376,
Kapaemahu — Cultural Memory Edition,,Hinaleimoana Wong-Kalu (Kanaka Maoli),,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4377,
The Federalist Papers,,"Alexander Hamilton, James Madison, John Jay",,,,,,,,,,,1787,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4378,
Losing Earth: A Recent History,,Nathaniel Rich,,,,,,,,,,,2018,,,,,,,,,,,,,,"Society, Politics, Law & Economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4379,
Don Giovanni,,Wolfgang Amadeus Mozart,,,,,,,,,,,1787,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Italian,4380,
The Works of Lord Byron,,Lord Byron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4381,
The Happiness Track (Reprint),,Emma Seppälä,,,,,,,,,,,44652,,,,,,,,,,,,,,Personal Development & Well-Being,Positive Psychology & Human Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4382,
Er Cheng Quanshu (Complete Works of the Two Chengs),,Cheng Hao,,,,,,,,,,,0,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Classical Chinese,4383,
The First Woman,,Jennifer Nansubuga Makumbi,,,,,,,,,,,2020,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English,4384,
The Atlas of Economic Complexity,,Ricardo Hausmann,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Spanish,4385,
Rig Veda (Ṛgveda),,Anonymous (ancient Indian sages),,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth","Depth & Archetypal Psychology,Transpersonal & Altered States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4386,
July’s People,,Nadine Gordimer,,,,,,,,,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Novel,4387,
Bhagavad Gita Bhashya,,Ramanuja,,,,,,,,,,,0,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Sanskrit,4388,
Jivamukti Yoga,,Sharon Gannon & David Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4389,
"Realisms Interlinked: Objects, Subjects, and Other Subjects",,Arindam Chakrabarti,,,,,,,,,,,44958,,,,,,,,,,,,,,Philosophy & Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4390,
Strangers at Our Door: The Refugee Crisis and the European Response,,Zygmunt Bauman,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4391,
Why We Die,,Venki Ramakrishnan,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4392,
The Alchemist,,Paulo Coelho,,,,,,,,,,,1988,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Portuguese,4393,
Three Plays for Puritans,,George Bernard Shaw,,,,,,,,,,,1901,,,,,,,,,,,,,,"Literature, Art & Aesthetics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Drama Collection,4394,
Cousin Phillis & Other Tales,,Elizabeth Gaskell,,,,,,,,,,,1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4395,
Things to Leave Behind,,Namita Gokhale,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,English/Hindi,4396,
Voix du Désert: Teaching Through Sacred Sound,,Amel Brahim-Djelloul,,,,,,,,,,,2020,,,,,,,,,,,,,,"Religion, Spirituality & Myth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,Arabic / French,4397,
Nexus: A Brief History of Information Networks from the Stone Age to AI,,Yuval Noah Harari,,,,,,,,,,,2025,,,,,,,,,,,,,,"Science, Technology & Cosmology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,,,,,,,,,,,,,,,,4398,
